Resultados RandomForestClassifier

--- Resultados con 1 hilos ---
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6898263027295285, 'recall': 0.4171779141104294, 'time': 0.8386108875274658}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.652605459057072, 'recall': 0.3558282208588957, 'time': 0.8266086578369141}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6774193548387096, 'recall': 0.38650306748466257, 'time': 0.8460814952850342}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6774193548387096, 'recall': 0.4539877300613497, 'time': 0.8177006244659424}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6898263027295285, 'recall': 0.38650306748466257, 'time': 0.8487215042114258}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6898263027295285, 'recall': 0.39263803680981596, 'time': 0.8223354816436768}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6550868486352357, 'recall': 0.3558282208588957, 'time': 0.8007302284240723}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6650124069478908, 'recall': 0.36809815950920244, 'time': 0.8133223056793213}

--- Resultados con 3 hilos ---
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.7047146401985112, 'recall': 0.3803680981595092, 'time': 0.17826008796691895}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6426799007444168, 'recall': 0.3067484662576687, 'time': 0.17577433586120605}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6898263027295285, 'recall': 0.3558282208588957, 'time': 0.17525124549865723}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6699751861042184, 'recall': 0.294478527607362, 'time': 0.17190194129943848}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6774193548387096, 'recall': 0.4171779141104294, 'time': 0.22096610069274902}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6724565756823822, 'recall': 0.4110429447852761, 'time': 0.2624669075012207}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6600496277915633, 'recall': 0.3619631901840491, 'time': 0.22594428062438965}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6799007444168734, 'recall': 0.38650306748466257, 'time': 0.22805118560791016}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6650124069478908, 'recall': 0.4049079754601227, 'time': 0.22495317459106445}
